municipio,denominacao_serventia,endereco,telefone,municipios_circunscritos
Floriano,"4ª SERVENTIA EXTRAJUDICIAL DE REGISTRO DE IMÓVEIS, REGISTRO DE TÍTULOS E DOCUMENTOS E CIVIL DAS PESSOAS JURÍDICAS E REGISTRO CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DE FLORIANO - 2ª ZONA","Avenida Eurípedes de Aguiar, 547, CEP 64.800-074 Centro",(89) 99473-6207 / (89) 99472-2282 / (89) 99411-5061,Floriano
Bertolínia,2ª SERVENTIA EXTRAJUDICIAL DE BERTOLÍNIA,"Avenida Presidente Médice, nº 115, CEP 64.870-000 Centro",(89) 3546-1302 / (89) 99402-1339,"Bertolínia, Sebastião Leal"
Piracuruca,1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO GERAL DE PIRACURUCA,"Rua Rui Barbosa, nº 260, CEP 64.240-000 Centro",(86) 99998-4575 / (86) 99482-1717,"Piracuruca, São João da Fronteira, São José do Divino"
Água Branca,1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO GERAL DE ÁGUA BRANCA,"Avenida João Ferreira, nº 580, Sala 'A', CEP 64.460-000  Centro",(86) 99952-8983 / (86) 99877-7946,"Água Branca, Lagoinha do Piauí, Hugo Napoleão"
Parnaíba,"1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO DE IMÓVEIS, REGISTRO DE TÍTULOS E DOCUMENTOS E CIVIL DAS PESSOAS JURÍDICAS E REGISTRO CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DE PARNAÍBA - 1ª ZONA","Rua Marques do Herval, nº 528, CEP 64.200-340 Centro",(86) 3322-2481 / (86) 99959-1514,"Parnaíba, Ilha Grande"
Miguel Leão,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE MIGUEL LEÃO,"Rua Bandico, nº 18, CEP 64.445-000 Centro",(86) 99829-2999 / (86) 99841-9487,Miguel Leão
Santa Luz,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE SANTA LUZ,"Rua Inocêncio de Aquino, nº 832-A, CEP 64.910-000 Centro",(89) 98106-6870 / (81) 99996-4702,Santa Luz
Santo Inácio do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE SANTO INÁCIO DO PIAUÍ,Anexada provisoriamente à Serventia Extrajudicial do Ofício Único de Campinas do Piauí,(89) 99433-6174 / (89) 99445-2630,"Santo Inácio do Piauí, Floresta do Piauí"
Socorro do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE SOCORRO DO PIAUÍ,"Rua Jesus Mesquita de Moura, nº 276, andar térreo, CEP 64.720-000 Centro",(86) 98881-1393,"Socorro do Piauí, Ribeira do Piauí, São Miguel do Fidalgo"
Parnaíba,1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DE PARNAÍBA,"Rua Humberto de Campos, nº 926, CEP 64.200-380 Centro/Norte",(86) 3321-2846,"Parnaíba, Ilha Grande"
